epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.007289,0,130.775,0,1101,95,13,993,11,626,356,0.6375,12227.284,5630.731,0.4605,5377.981,32.850,219.900,0,0.000,0.00000,0.0173,6,428,428,1,0,0,1,1,0,0.3097,21,21,1,20.197,0.2897,-0.1730,-0.0114,0.000000,0.5668,19,18,0.9474,1920,135,1.1486,2.1231,0.6447,1.1579,0,0
2,240,0.007289,0.006817,1,140.448,0,1029,2,27,1000,14,619,367,0.6278,11501.659,8408.040,0.7310,7931.309,37.981,218.850,0,0.000,0.00000,0.0203,8,410,838,1,0,0,1,1,0,0.3173,9,9,0,20.190,0.2931,-0.1697,-0.0114,0.000000,0.5875,19,15,0.7895,1920,133,1.1486,2.1231,0.6447,1.1473,0,0
3,240,0.006817,0.006522,2,146.758,0,1092,0,44,1048,13,651,384,0.6290,11789.292,11081.551,0.9400,10378.018,41.133,223.650,0,0.000,0.00000,0.0261,9,453,1291,1,0,0,1,1,0,0.3132,36,36,4,20.272,0.2949,-0.1480,-0.0114,0.000000,0.5888,22,20,0.9091,1920,171,1.1486,2.1231,0.6447,1.1883,0,0
4,240,0.006522,0.006171,3,150.237,1,997,0,8,989,12,584,393,0.5977,10267.074,12737.971,1.2407,11817.517,44.454,213.600,0,0.000,0.00000,0.0194,8,386,1677,1,0,1,1,1,0,0.3120,25,25,5,20.319,0.2974,-0.1528,-0.0114,0.000000,0.6049,21,17,0.8095,1920,137,1.1486,2.1231,0.6447,1.2147,0,0
5,240,0.006171,0.006609,4,149.726,2,1024,0,25,999,11,631,357,0.6387,10731.969,14916.998,1.3900,13780.889,39.459,220.650,0,0.000,0.00000,0.0202,3,428,2105,1,0,1,1,1,0,0.3151,27,27,3,20.376,0.3012,-0.1519,-0.0114,0.000000,0.6078,10,8,0.8000,1920,148,1.1488,2.1231,0.6447,1.2473,0,0
6,240,0.006609,0.007103,5,147.511,2,1026,0,24,1002,8,626,368,0.6298,10192.043,16893.420,1.6575,15542.770,34.100,219.900,0,0.000,0.00000,0.0272,15,435,2540,1,0,1,1,1,0,0.3232,16,16,1,20.408,0.3074,-0.1557,0.2789,0.290326,0.5459,16,15,0.9375,1920,136,1.1488,2.1231,0.6447,1.2602,0,0
7,240,0.007103,0.006694,6,147.458,5,1096,0,41,1055,9,600,446,0.5736,10238.927,18227.556,1.7802,16570.451,37.976,216.000,0,0.000,0.00000,0.0229,6,396,2936,1,0,1,1,1,0,0.3218,41,41,4,20.470,0.3169,-0.1368,0.2789,0.290326,0.5316,16,16,1.0000,1920,171,1.1488,2.1231,0.6447,1.3095,0,0
8,239,0.006694,0.007065,7,146.530,7,1051,0,29,1022,8,584,430,0.5759,9436.326,19542.021,2.0709,17675.515,34.177,213.200,0,0.000,0.00000,0.0187,7,398,3334,1,0,1,1,1,0,0.3268,18,18,1,20.464,0.3201,-0.1291,0.2789,0.290326,0.5529,18,17,0.9444,1912,162,1.1488,2.1231,0.6447,1.3258,0,0
9,239,0.007065,0.006665,8,145.765,10,1067,0,20,1047,10,570,467,0.5497,9802.495,20806.385,2.1226,18725.142,37.814,211.100,0,0.000,0.00000,0.0212,4,384,3718,1,0,1,1,1,0,0.3226,5,5,0,20.422,0.3277,-0.1285,0.2789,0.290326,0.5336,23,20,0.8696,1912,163,1.1489,2.1458,0.6447,1.3638,0,0
10,239,0.006665,0.007420,9,143.033,14,1045,0,25,1020,11,599,410,0.5937,9760.248,22119.686,2.2663,19928.928,30.158,215.450,1,0.000,0.00000,0.0268,7,393,4111,1,0,1,1,1,0,0.3285,10,10,0,20.191,0.3192,-0.1206,0.2789,0.290326,0.5504,27,27,1.0000,1912,186,1.1488,2.1764,0.6447,1.3677,0,0
11,237,0.007420,0.007504,10,141.394,14,1095,0,31,1064,6,610,448,0.5766,9982.218,22835.998,2.2877,20430.093,29.005,216.300,0,0.000,0.00000,0.0151,5,399,4510,1,0,1,1,1,0,0.3298,41,41,2,20.239,0.3314,-0.1005,0.2789,0.290326,0.5463,19,15,0.7895,1896,177,1.1488,2.1764,0.6447,1.3907,0,0
12,237,0.007504,0.007452,11,140.127,16,1020,0,28,992,12,603,377,0.6153,10081.399,23847.786,2.3655,21226.404,29.232,215.250,0,0.000,0.00000,0.0235,7,415,4925,1,0,1,1,1,0,0.3207,41,41,3,20.249,0.3414,-0.1351,0.2789,0.290326,0.5609,18,17,0.9444,1896,170,1.1487,2.1911,0.6447,1.4302,0,0
13,237,0.007452,0.007224,12,139.152,17,1019,0,13,1006,8,579,419,0.5802,10035.125,24711.182,2.4625,21876.163,31.219,211.650,0,0.000,0.00000,0.0210,11,396,5321,1,1,1,1,1,1,0.3276,0,0,0,20.240,0.3503,-0.1191,0.2789,0.290326,0.5572,22,21,0.9545,1896,144,1.1487,2.1931,0.6447,1.4862,0,0
14,237,0.007224,0.007947,13,137.060,24,1065,0,39,1026,8,616,402,0.6051,10084.064,25381.459,2.5170,22336.833,23.626,217.200,0,0.000,0.00000,0.0275,8,413,5734,1,1,1,1,1,1,0.3299,14,14,2,19.969,0.3373,-0.0852,0.2789,0.290326,0.5700,22,21,0.9545,1896,177,1.1467,2.2441,0.6447,1.4719,0,0
