epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,285,0.010000,0.007085,0,158.140,0,954,0,118,836,9,563,264,0.6808,9924.354,5270.827,0.5311,5013.723,28.654,228.450,0,0.000,0.00000,0.0206,5,393,391,1,0,0,1,1,0,0.2975,15,10,1,20.213,0.2766,-0.1763,-0.1241,0.000000,0.6610,20,18,0.9000,2280,72,1.1498,2.2099,0.6308,1.1476,0,0
2,285,0.007085,0.007321,1,152.648,3,971,0,107,864,9,613,242,0.7170,11378.183,8059.992,0.7084,7569.947,25.645,235.950,0,0.000,0.00000,0.0140,5,382,775,1,0,0,1,1,0,0.3095,16,8,0,20.193,0.2800,-0.1830,-0.1241,0.000000,0.6614,22,18,0.8182,2280,97,1.1503,2.2099,0.6308,1.1427,1,0
3,285,0.007321,0.008021,2,145.692,9,937,0,120,817,9,533,275,0.6597,9756.313,9630.375,0.9871,8989.186,18.552,223.950,1,0.000,0.00000,0.0210,5,377,1152,1,0,0,1,1,0,0.3076,26,19,3,20.162,0.2878,-0.1510,-0.1241,0.000000,0.6695,27,23,0.8519,2280,79,1.1480,2.2099,0.6308,1.1687,1,0
4,284,0.008021,0.009016,3,137.748,14,976,0,129,847,10,570,267,0.6810,10131.928,10957.999,1.0815,10081.160,8.185,229.100,0,0.000,0.00000,0.0203,4,353,1505,1,0,1,1,1,0,0.3101,34,15,4,20.189,0.2934,-0.1643,-0.1241,0.000000,0.6706,20,18,0.9000,2272,69,1.1477,2.2099,0.6308,1.2129,1,0
5,283,0.009016,0.009577,4,128.847,24,973,0,94,879,14,612,253,0.7075,11084.474,12287.126,1.1085,11181.805,1.667,235.000,0,0.000,0.00000,0.0277,9,402,1907,1,0,1,1,1,0,0.3134,33,24,4,20.182,0.3051,-0.1559,-0.1241,0.000000,0.6781,20,18,0.9000,2264,91,1.1482,2.1982,0.6308,1.2592,1,0
6,283,0.009577,0.009970,5,119.907,39,1023,0,62,961,4,689,268,0.7200,12702.143,12175.552,0.9585,10829.029,0.000,246.550,0,0.000,0.00000,0.0178,5,458,2365,1,0,1,1,1,0,0.3050,11,7,0,20.000,0.3134,-0.1422,0.1799,0.303993,0.5979,18,15,0.8333,2264,151,1.1496,2.2061,0.6308,1.2599,1,0
7,283,0.009970,0.010161,6,123.870,45,1027,0,91,936,7,587,342,0.6319,10568.116,11676.405,1.1049,11029.139,0.000,231.250,0,0.000,0.00000,0.0258,4,391,2756,1,0,1,1,1,0,0.3270,0,0,0,20.291,0.3627,-0.1446,0.1799,0.303993,0.6045,19,16,0.8421,2264,109,1.1490,2.2061,0.6308,1.3354,1,0
8,237,0.010161,0.010751,7,99.869,45,1012,0,114,898,13,567,318,0.6407,10230.293,11658.326,1.1396,10771.807,0.000,209.850,0,0.000,0.00000,0.0113,4,363,3119,1,0,1,1,1,0,0.3375,0,0,0,20.137,0.3533,-0.0841,0.1799,0.303993,0.5924,11,10,0.9091,1896,111,1.1487,2.2111,0.6308,1.3054,1,0
9,236,0.010751,0.010813,8,101.939,54,1073,0,106,967,9,581,377,0.6065,10137.035,11773.550,1.1614,10676.404,0.000,211.550,0,0.000,0.00000,0.0104,2,356,3475,1,0,1,1,1,0,0.3554,0,0,0,19.692,0.3451,-0.0721,0.1799,0.303993,0.5871,18,15,0.8333,1888,117,1.1474,2.1814,0.6308,1.2832,1,0
10,236,0.010813,0.010794,9,104.926,60,1056,0,66,990,8,576,406,0.5866,9808.345,12034.762,1.2270,10726.924,0.000,210.800,0,0.000,0.00000,0.0244,8,369,3844,1,0,1,1,1,0,0.3431,12,12,0,19.278,0.3281,-0.0562,0.1799,0.303993,0.6059,29,26,0.8966,1888,127,1.1454,2.1009,0.6308,1.2725,1,0
