epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.007376,0,132.020,0,1013,122,15,876,10,525,341,0.6062,9859.860,5047.020,0.5119,4816.666,25.604,204.750,0,0.000,0.00000,0.0185,6,383,383,1,0,0,1,1,0,0.2799,2,2,0,20.389,0.2807,-0.1428,-0.0062,0.000000,0.5753,21,18,0.8571,1920,107,1.1546,2.1682,0.6062,1.1494,0,0
2,240,0.007376,0.007125,1,139.481,0,1003,42,4,957,18,587,352,0.6251,10465.849,7881.452,0.7531,7434.720,27.932,214.050,0,0.000,0.00000,0.0160,3,422,805,1,0,0,1,1,0,0.2909,20,20,1,20.339,0.2811,-0.1920,-0.0062,0.000000,0.5825,15,14,0.9333,1920,112,1.1546,2.1682,0.6062,1.1303,3,0
3,240,0.007125,0.006486,2,143.208,0,1044,0,15,1029,10,626,393,0.6143,11823.676,10966.753,0.9275,10292.871,35.182,219.900,0,0.000,0.00000,0.0226,6,461,1266,1,0,0,1,1,0,0.2759,10,10,1,20.397,0.2825,-0.1716,-0.0062,0.000000,0.5784,19,18,0.9474,1920,135,1.1546,2.1682,0.6062,1.1633,3,0
4,240,0.006486,0.006127,3,147.182,1,1034,0,17,1017,10,613,394,0.6087,11550.054,13154.224,1.1389,12258.557,39.017,217.950,0,0.000,0.00000,0.0129,2,428,1694,1,0,1,1,1,0,0.2872,21,21,1,20.348,0.2834,-0.1853,-0.0062,0.000000,0.5930,17,16,0.9412,1920,120,1.1546,2.1682,0.6062,1.1533,3,0
5,240,0.006127,0.006360,4,148.081,3,976,0,10,966,8,620,338,0.6472,11151.077,14989.428,1.3442,13913.972,36.098,219.000,1,0.000,0.00000,0.0188,8,459,2153,1,0,1,1,1,0,0.2924,13,13,2,20.340,0.2910,-0.1704,-0.0062,0.000000,0.5951,30,27,0.9000,1920,120,1.1538,2.1682,0.6062,1.1480,3,0
6,239,0.006360,0.006474,5,145.441,3,1047,0,28,1019,11,625,383,0.6200,11415.402,17155.495,1.5028,15862.316,34.471,219.350,0,0.000,0.00000,0.0218,6,442,2595,1,0,1,1,1,0,0.2876,11,11,0,20.369,0.2960,-0.1560,0.2774,0.283538,0.5225,21,17,0.8095,1912,116,1.1538,2.1682,0.6062,1.1643,3,0
7,239,0.006474,0.005473,6,149.330,3,1009,0,27,982,8,517,457,0.5308,9833.011,18328.389,1.8640,16822.476,44.055,203.150,0,0.000,0.00000,0.0195,6,370,2965,1,0,1,1,1,0,0.2943,17,17,2,20.428,0.3020,-0.1176,0.2774,0.283538,0.5272,20,18,0.9000,1912,120,1.1538,2.1682,0.6062,1.1984,3,0
8,239,0.005473,0.005598,7,151.300,3,1031,0,22,1009,10,563,436,0.5636,10495.133,19503.642,1.8584,17789.272,42.462,210.050,0,0.000,0.00000,0.0190,4,400,3365,1,0,1,1,1,0,0.3072,21,21,3,20.438,0.3071,-0.0993,0.2774,0.283538,0.5427,13,10,0.7692,1912,116,1.1538,2.1682,0.6062,1.2004,3,0
9,239,0.005598,0.005545,8,152.637,4,1005,0,35,970,13,535,422,0.5590,9596.699,20709.169,2.1579,18957.406,42.698,205.850,1,0.000,0.00000,0.0219,6,365,3730,1,0,1,1,1,0,0.3084,10,10,1,20.468,0.3124,-0.0942,0.2774,0.283538,0.5519,23,23,1.0000,1912,106,1.1538,2.1682,0.6062,1.1924,3,0
10,238,0.005545,0.005576,9,151.147,7,921,0,18,903,7,501,395,0.5592,8823.496,21362.949,2.4211,19594.467,42.167,200.350,1,0.000,0.00000,0.0246,7,349,4079,1,0,1,1,1,0,0.3039,9,9,0,20.496,0.3140,-0.0800,0.2774,0.283538,0.5501,19,16,0.8421,1904,83,1.1539,2.1682,0.6062,1.2119,3,0
