epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,285,0.010000,0.006772,0,158.140,0,976,9,18,949,11,625,313,0.6663,11756.217,6117.555,0.5204,5842.173,37.632,237.750,0,0.000,0.00000,0.0203,6,425,422,1,0,0,1,1,0,0.3025,13,11,1,20.213,0.2766,-0.2569,-0.1241,0.000000,0.6392,21,19,0.9048,2280,94,1.1498,2.2099,0.6308,1.1476,0,0
2,285,0.006772,0.006704,1,158.380,0,1141,174,22,945,10,634,301,0.6781,12041.188,10011.200,0.8314,9496.212,38.138,239.100,0,0.000,0.00000,0.0139,6,448,873,1,0,0,1,1,0,0.2958,29,22,0,20.212,0.2792,-0.2563,-0.1241,0.000000,0.6533,23,19,0.8261,2280,267,1.1498,2.2099,0.6308,1.1427,1,0
3,285,0.006704,0.007074,2,156.238,0,1139,152,30,957,13,640,304,0.6780,11840.615,12341.357,1.0423,11698.719,33.445,240.000,1,0.000,0.00000,0.0191,5,446,1319,1,0,0,1,1,0,0.3134,23,19,1,20.187,0.2830,-0.2504,-0.1241,0.000000,0.6545,36,31,0.8611,2280,281,1.1498,2.2099,0.6308,1.1390,1,0
4,284,0.007074,0.007827,3,151.578,1,1191,128,48,1015,11,687,317,0.6843,12147.272,14412.616,1.1865,13584.182,23.965,246.650,1,0.000,0.00000,0.0179,4,486,1805,1,0,1,1,1,0,0.3095,14,10,2,20.256,0.2876,-0.2678,-0.1241,0.000000,0.6601,21,19,0.9048,2272,284,1.1501,2.2099,0.6308,1.1557,1,0
5,283,0.007827,0.008231,4,145.955,5,1180,124,52,1004,16,672,316,0.6802,11911.837,16168.825,1.3574,15101.526,18.830,244.000,0,0.000,0.00000,0.0273,9,443,2248,1,0,1,1,1,0,0.3179,27,23,4,20.330,0.2952,-0.2736,-0.1241,0.000000,0.6541,22,20,0.9091,2264,298,1.1504,2.2099,0.6308,1.2009,1,0
6,283,0.008231,0.008351,5,138.350,12,1197,0,32,1165,7,843,315,0.7280,15721.760,17327.330,1.1021,15992.697,16.514,269.650,0,0.000,0.00000,0.0233,9,580,2828,1,0,1,1,1,0,0.3133,39,31,5,20.249,0.2956,-0.1925,0.1988,0.322986,0.5758,21,18,0.8571,2264,325,1.1496,2.1928,0.6308,1.2467,1,0
7,283,0.008351,0.008450,6,142.520,16,1034,0,29,1005,7,612,386,0.6132,10944.919,16782.488,1.5334,16755.146,15.146,235.000,1,0.000,0.00000,0.0251,4,417,3245,1,0,1,1,1,0,0.3110,11,9,2,20.439,0.3355,-0.2045,0.1988,0.322986,0.5836,19,16,0.8421,2264,116,1.1492,2.1979,0.6308,1.2873,1,0
8,237,0.008450,0.009198,7,118.648,16,1064,0,54,1010,16,617,377,0.6207,10730.711,17570.571,1.6374,17179.783,6.812,217.350,0,0.000,0.00000,0.0131,4,394,3639,1,0,1,1,1,0,0.3456,32,32,4,20.341,0.3293,-0.1944,0.1988,0.322986,0.5760,12,11,0.9167,1896,163,1.1487,2.1979,0.6308,1.2527,1,0
9,236,0.009198,0.008885,8,121.121,23,1108,0,42,1066,9,639,418,0.6045,11156.468,18052.013,1.6181,17437.803,9.984,220.250,0,0.000,0.00000,0.0114,3,391,4030,1,0,1,1,1,0,0.3387,19,19,0,20.177,0.3181,-0.1776,0.1988,0.322986,0.5714,18,15,0.8333,1888,152,1.1490,2.1791,0.6308,1.2416,1,0
10,236,0.008885,0.009011,9,124.134,26,1098,0,40,1058,10,594,454,0.5668,9917.756,18709.415,1.8865,17883.237,8.452,213.500,0,0.000,0.00000,0.0229,8,365,4395,1,0,1,1,1,0,0.3515,23,23,0,19.943,0.3077,-0.1525,0.1988,0.322986,0.5753,30,27,0.9000,1888,169,1.1484,2.2204,0.6308,1.2270,1,0
