epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,246,0.010000,0.008205,1,130.083,0,967,81,2,884,8,559,317,0.6381,10013.667,5068.400,0.5061,4838.455,17.695,212.250,0,0.000,0.00000,0.0183,5,405,405,1,0,0,1,1,0,0.2933,3,3,0,20.091,0.3212,-0.2687,0.0171,0.000000,0.5887,11,10,0.9091,1968,106,1.1484,2.1114,0.6031,1.1331,0,0
2,246,0.008205,0.007399,2,136.587,0,1004,24,14,966,4,607,355,0.6310,11198.805,8159.524,0.7286,7701.392,26.432,219.450,0,0.000,0.00000,0.0198,7,426,831,1,0,0,1,1,0,0.2932,7,7,0,20.101,0.3220,-0.2362,0.0171,0.000000,0.5935,19,18,0.9474,1968,125,1.1484,2.1114,0.6031,1.1381,0,0
3,246,0.007399,0.007074,3,141.908,0,1009,0,16,993,8,614,371,0.6234,11109.218,10693.053,0.9625,10116.238,29.727,220.500,1,0.000,0.00000,0.0223,6,424,1255,1,0,1,1,1,0,0.2918,24,24,2,20.087,0.3229,-0.2147,0.0171,0.000000,0.5961,14,14,1.0000,1968,140,1.1484,2.1114,0.6031,1.1266,0,0
4,245,0.007074,0.006922,4,144.753,0,1040,0,33,1007,12,617,378,0.6201,10950.550,13145.063,1.2004,12594.648,31.090,220.550,2,0.000,0.00000,0.0141,5,431,1686,1,0,1,1,1,0,0.2983,36,36,6,20.028,0.3270,-0.2124,0.0171,0.000000,0.6049,24,22,0.9167,1960,129,1.1484,2.1114,0.6031,1.0972,0,0
5,243,0.006922,0.006862,5,144.688,1,1303,240,37,1026,13,648,365,0.6397,11616.218,15818.887,1.3618,15043.712,31.450,224.400,0,0.000,0.00000,0.0247,9,467,2153,1,0,1,1,1,0,0.2995,34,34,3,19.974,0.3306,-0.2120,0.0171,0.000000,0.6076,21,21,1.0000,1944,395,1.1484,2.1114,0.6031,1.0845,0,0
6,243,0.006862,0.007436,6,141.630,3,1308,240,39,1029,11,674,344,0.6621,11656.041,17232.849,1.4784,16236.404,24.420,228.300,0,0.000,0.00000,0.0167,4,472,2625,1,0,1,1,1,0,0.3199,42,42,3,19.728,0.2959,-0.2102,0.3276,0.310501,0.5396,19,17,0.8947,1944,410,1.1484,2.0799,0.6031,1.0657,0,0
7,243,0.007436,0.007159,7,145.000,3,1266,157,95,1014,16,597,401,0.5982,10022.616,19024.604,1.8982,17808.928,26.901,216.750,0,0.000,0.00000,0.0200,8,428,3053,1,0,1,1,1,0,0.3023,23,23,1,19.707,0.2986,-0.1888,0.3276,0.310501,0.5448,16,14,0.8750,1944,374,1.1484,2.0799,0.6031,1.0563,0,0
8,243,0.007159,0.007055,8,146.255,4,1233,0,239,994,15,572,407,0.5843,9460.066,20239.655,2.1395,18810.288,27.592,213.000,0,0.000,0.00000,0.0153,5,395,3448,1,0,1,1,1,0,0.3230,31,31,3,19.669,0.3040,-0.1578,0.3276,0.310501,0.5542,24,21,0.8750,1944,378,1.1488,2.0799,0.6031,1.0377,0,0
9,243,0.007055,0.007649,9,145.598,8,1285,0,248,1037,10,629,398,0.6125,9929.229,21527.807,2.1681,19883.094,21.388,221.550,0,0.000,0.00000,0.0253,7,413,3861,1,0,1,1,1,0,0.3308,23,23,0,19.550,0.3035,-0.1316,0.3276,0.310501,0.5587,16,16,1.0000,1944,397,1.1489,2.1052,0.6031,1.0620,0,0
10,243,0.007649,0.007339,10,145.590,10,1256,0,260,996,8,576,412,0.5830,9266.449,22641.157,2.4433,20905.424,23.976,213.600,1,0.000,0.00000,0.0253,5,382,4243,1,0,1,1,1,0,0.3336,17,17,0,19.528,0.3012,-0.1434,0.3276,0.310501,0.5712,10,9,0.9000,1944,385,1.1489,2.1052,0.6031,1.0751,0,0
