epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,240,0.010000,0.007238,0,133.091,0,996,103,0,893,9,535,349,0.6052,10108.138,4999.646,0.4946,4765.746,27.650,206.250,0,0.000,0.00000,0.0158,4,368,367,1,0,0,1,1,0,0.3375,26,26,4,20.555,0.3071,-0.1591,0.0226,0.000000,0.5564,12,10,0.8333,1920,114,1.1531,2.2023,0.6124,1.1704,0,0
2,240,0.007238,0.006925,1,139.895,0,1022,46,11,965,11,559,395,0.5860,10102.139,8078.082,0.7996,7631.456,30.526,209.850,0,0.000,0.00000,0.0220,5,380,748,1,0,0,1,1,0,0.3436,0,0,0,20.546,0.3078,-0.2842,0.0226,0.000000,0.5661,21,21,1.0000,1920,120,1.1531,2.2023,0.6124,1.1682,2,0
3,240,0.006925,0.006896,2,143.851,0,998,0,5,993,7,575,411,0.5832,9918.286,10802.509,1.0892,10143.637,30.522,212.250,0,0.000,0.00000,0.0203,4,408,1156,1,0,0,1,1,0,0.3597,51,51,5,20.588,0.3111,-0.2783,0.0226,0.000000,0.5696,22,20,0.9091,1920,125,1.1531,2.2023,0.6124,1.1866,2,0
4,240,0.006896,0.006800,3,145.348,1,1018,0,6,1012,9,589,414,0.5872,10146.637,12760.118,1.2576,11886.203,31.215,214.350,0,0.000,0.00000,0.0110,1,376,1532,1,0,1,1,1,0,0.3457,25,25,3,20.636,0.3129,-0.2986,0.0226,0.000000,0.5780,23,22,0.9565,1920,123,1.1535,2.2023,0.6124,1.2015,2,0
5,240,0.006800,0.006649,4,145.993,1,1106,0,39,1067,10,649,408,0.6140,11634.911,14815.061,1.2733,13604.599,32.662,223.350,0,0.000,0.00000,0.0255,4,434,1966,1,0,1,1,1,0,0.3446,12,12,2,20.710,0.3188,-0.2986,0.0226,0.000000,0.5728,22,20,0.9091,1920,149,1.1535,2.2023,0.6124,1.2274,2,0
6,238,0.006649,0.006942,5,143.220,2,1135,0,24,1111,10,682,419,0.6194,12141.184,16853.219,1.3881,15590.898,28.760,227.500,1,0.000,0.00000,0.0200,6,446,2412,1,0,1,1,1,0,0.3477,36,36,4,20.667,0.3209,-0.3016,0.3137,0.291096,0.4982,19,18,0.9474,1904,198,1.1535,2.1893,0.6124,1.2613,3,0
7,237,0.006942,0.006200,6,148.472,3,1033,0,8,1025,11,562,452,0.5542,9778.898,18608.922,1.9030,17130.543,35.718,209.100,0,0.000,0.00000,0.0187,4,354,2766,1,0,1,1,1,0,0.3578,25,25,4,20.777,0.3292,-0.2979,0.3137,0.291096,0.5171,20,16,0.8000,1896,147,1.1541,2.1893,0.6124,1.3141,3,0
8,237,0.006200,0.006069,7,150.473,3,1087,0,20,1067,6,582,479,0.5485,10154.929,19659.849,1.9360,17968.335,36.753,212.100,0,0.000,0.00000,0.0226,7,396,3162,1,0,1,1,1,0,0.3389,15,15,3,20.776,0.3325,-0.2999,0.3137,0.291096,0.5142,25,20,0.8000,1896,178,1.1541,2.1893,0.6124,1.3173,3,0
9,237,0.006069,0.006347,8,152.530,5,1106,0,29,1077,14,575,488,0.5409,9220.743,20574.515,2.2313,18674.799,33.905,211.050,0,0.000,0.00000,0.0169,2,383,3545,1,0,1,1,1,0,0.3400,11,11,0,20.765,0.3406,-0.2757,0.3137,0.291096,0.5246,23,20,0.8696,1896,186,1.1536,2.2069,0.6124,1.3420,3,0
10,237,0.006347,0.006385,9,151.655,7,1064,0,20,1044,11,585,448,0.5663,9537.337,21489.382,2.2532,19553.444,33.247,212.550,1,0.000,0.00000,0.0194,11,376,3921,1,0,1,1,1,0,0.3850,11,11,2,20.816,0.3465,-0.2746,0.3137,0.291096,0.5310,26,20,0.7692,1896,180,1.1539,2.2069,0.6124,1.3680,3,0
