epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,246,0.010000,0.007855,0,132.020,0,1016,121,3,892,10,550,332,0.6236,10042.440,5346.169,0.5324,5114.001,21.268,210.900,0,0.000,0.00000,0.0181,6,392,391,1,0,0,1,1,0,0.2801,11,11,0,20.389,0.2807,-0.1834,-0.0062,0.000000,0.5688,21,18,0.8571,1968,110,1.1546,2.1682,0.6062,1.1494,0,0
2,246,0.007855,0.007202,1,139.329,0,995,40,1,954,18,577,359,0.6165,10500.310,9188.121,0.8750,8734.426,27.845,214.950,0,0.000,0.00000,0.0160,3,395,787,1,0,0,1,1,0,0.2990,30,30,2,20.339,0.2811,-0.2314,-0.0062,0.000000,0.5818,15,14,0.9333,1968,104,1.1546,2.1682,0.6062,1.1303,3,0
3,246,0.007202,0.006723,2,142.658,0,1027,0,11,1016,10,628,378,0.6243,11891.576,11612.026,0.9765,10930.354,33.222,222.600,0,0.000,0.00000,0.0229,6,436,1223,1,0,0,1,1,0,0.2918,13,13,1,20.346,0.2827,-0.2179,-0.0062,0.000000,0.5794,19,18,0.9474,1968,118,1.1546,2.1682,0.6062,1.1368,3,0
4,246,0.006723,0.006515,3,145.960,0,1060,0,38,1022,10,618,394,0.6107,11532.564,13740.558,1.1915,12835.698,35.310,221.100,0,0.000,0.00000,0.0128,2,449,1672,1,0,1,1,1,0,0.2896,42,42,3,20.319,0.2869,-0.2424,-0.0062,0.000000,0.5914,17,16,0.9412,1968,146,1.1546,2.1682,0.6062,1.1207,3,0
5,246,0.006515,0.006518,4,147.347,0,1202,240,13,949,8,597,344,0.6344,10831.724,15753.319,1.4544,14500.080,34.987,217.950,0,0.000,0.00000,0.0191,8,432,2104,1,0,1,1,1,0,0.2948,2,2,0,20.335,0.2928,-0.2514,-0.0062,0.000000,0.5989,29,26,0.8966,1968,346,1.1546,2.1682,0.6062,1.1155,3,0
6,245,0.006518,0.006989,5,142.856,2,1296,240,16,1040,11,632,397,0.6142,11438.782,17484.303,1.5285,16013.965,29.286,222.800,0,0.000,0.00000,0.0214,6,441,2545,1,0,1,1,1,0,0.2935,23,23,3,20.266,0.2969,-0.2349,0.2816,0.287757,0.5254,21,17,0.8095,1960,365,1.1546,2.1521,0.6062,1.1133,3,0
7,245,0.006989,0.006307,6,146.257,4,1249,240,18,991,8,534,449,0.5432,9805.351,18950.123,1.9326,17265.273,35.698,208.100,0,0.000,0.00000,0.0193,6,366,2911,1,0,1,1,1,0,0.2901,31,31,6,20.289,0.3048,-0.2194,0.2816,0.287757,0.5286,20,18,0.9000,1960,360,1.1546,2.1521,0.6062,1.1383,2,0
8,245,0.006307,0.006079,7,148.936,5,1287,240,50,997,10,568,419,0.5755,10571.882,20759.020,1.9636,18858.835,37.833,213.200,0,0.000,0.00000,0.0193,4,411,3322,1,0,1,1,1,0,0.3015,12,12,1,20.312,0.3067,-0.1996,0.2816,0.287757,0.5489,13,10,0.7692,1960,372,1.1550,2.1521,0.6062,1.1482,3,0
9,245,0.006079,0.006204,8,151.012,7,1263,240,31,992,15,559,418,0.5722,9806.355,21979.006,2.2413,19951.563,36.317,211.850,1,0.000,0.00000,0.0215,6,386,3708,1,0,1,1,1,0,0.2915,36,36,5,20.307,0.3125,-0.1787,0.2816,0.287757,0.5448,23,23,1.0000,1960,364,1.1550,2.1521,0.6062,1.1475,3,0
10,244,0.006204,0.006432,9,149.509,11,1179,0,249,930,7,518,405,0.5612,8673.792,22953.400,2.6463,20915.227,34.087,205.300,1,0.000,0.00000,0.0249,8,352,4060,1,0,1,1,1,0,0.2891,23,23,2,20.166,0.3081,-0.1791,0.2816,0.287757,0.5483,20,17,0.8500,1952,341,1.1552,2.1443,0.6062,1.1369,3,0
11,243,0.006432,0.006577,10,147.460,13,1255,240,48,967,9,548,410,0.5720,9417.434,23871.981,2.5349,21626.038,32.457,209.400,0,0.000,0.00000,0.0219,4,383,4443,1,0,1,1,1,0,0.3093,16,16,0,20.132,0.3082,-0.1806,0.2816,0.287757,0.5585,17,16,0.9412,1944,369,1.1559,2.1443,0.6062,1.1295,2,0
12,243,0.006577,0.006688,11,144.628,17,1294,240,59,995,15,528,452,0.5388,9236.211,24828.462,2.6882,22377.398,31.178,206.400,0,0.000,0.00000,0.0184,7,347,4790,1,0,1,1,1,0,0.3082,11,11,2,19.956,0.2990,-0.1603,0.2816,0.287757,0.5625,22,19,0.8636,1944,383,1.1559,2.1358,0.6062,1.1173,2,0
13,243,0.006688,0.007177,12,144.545,18,1263,240,23,1000,10,570,420,0.5758,9496.889,25672.582,2.7033,23013.737,26.259,212.700,0,0.000,0.00000,0.0232,5,403,5193,1,1,1,1,1,1,0.3238,11,11,2,19.892,0.2970,-0.1330,0.2816,0.287757,0.5534,12,10,0.8333,1944,392,1.1559,2.1358,0.6062,1.1002,2,0
14,243,0.007177,0.006959,13,143.506,19,1248,240,23,985,6,574,405,0.5863,10028.605,26602.530,2.6527,23728.483,28.161,213.300,0,0.000,0.00000,0.0235,10,372,5565,1,1,1,1,1,1,0.3268,42,42,5,19.916,0.2954,-0.1403,0.2816,0.287757,0.5595,23,22,0.9565,1944,361,1.1558,2.1358,0.6062,1.1092,2,0
